iso_code,date,continent,location,reproduction_rate,C1_combined_numeric,C1_combined,C2_combined_numeric,C2_combined,C3_combined_numeric,C3_combined,C4_combined_numeric,C4_combined,C5_combined_numeric,C5_combined,C6_combined_numeric,C6_combined,C7_combined_numeric,C7_combined,C8_combined_numeric,C8_combined,E1_combined_numeric,E1_combined,E2_combined_numeric,E2_combined,H1_combined_numeric,H1_combined,H2_combined_numeric,H2_combined,H3_combined_numeric,H3_combined,H6_combined_numeric,H6_combined,H7_combined_numeric,H7_combined,H8_combined_numeric,H8_combined
NLD,2020-03-28,Europe,Netherlands,1.64,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-03-29,Europe,Netherlands,1.55,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-03-30,Europe,Netherlands,1.47,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-03-31,Europe,Netherlands,1.39,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-01,Europe,Netherlands,1.32,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-02,Europe,Netherlands,1.25,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-03,Europe,Netherlands,1.19,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-04,Europe,Netherlands,1.16,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-05,Europe,Netherlands,1.17,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-06,Europe,Netherlands,1.17,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-07,Europe,Netherlands,1.15,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-08,Europe,Netherlands,1.14,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-09,Europe,Netherlands,1.13,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-10,Europe,Netherlands,1.11,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-11,Europe,Netherlands,1.1,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-12,Europe,Netherlands,1.07,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-13,Europe,Netherlands,1.04,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-14,Europe,Netherlands,1.01,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-15,Europe,Netherlands,0.98,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-16,Europe,Netherlands,0.97,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-17,Europe,Netherlands,0.96,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-18,Europe,Netherlands,0.94,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-19,Europe,Netherlands,0.92,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-20,Europe,Netherlands,0.89,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-21,Europe,Netherlands,0.86,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-22,Europe,Netherlands,0.82,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-23,Europe,Netherlands,0.78,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-24,Europe,Netherlands,0.74,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-25,Europe,Netherlands,0.71,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-26,Europe,Netherlands,0.68,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-27,Europe,Netherlands,0.66,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-28,Europe,Netherlands,0.63,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-29,Europe,Netherlands,0.63,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-04-30,Europe,Netherlands,0.62,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-01,Europe,Netherlands,0.62,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-02,Europe,Netherlands,0.63,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
